시즌,상대팀,공격득점,블로킹득점,서브득점,팀범실,상대범실,전체득점,상대득점,디그성공,리시브정확,세트성공,공격성공률,리시브효율,경기시간,세트승,세트패,결과,김연경,김연경득점,김연경시도,김연경성공,김연경공격차단,김연경범실,김연경성공률,김연경점유율
1,현대건설,43,3,5,16,18,75,66,55,38,40,40.19,58.33,81,3,0,승,미출전,,,,,,,
1,KT&G,37,3,4,19,11,59,81,75,44,35,29.60,59.15,82,0,3,패,미출전,,,,,,,
1,도로공사,35,1,1,17,8,50,75,73,38,33,24.82,55.07,75,0,3,패,미출전,,,,,,,
1,GS칼텍스,68,6,2,29,17,100,96,91,54,62,41.72,60.00,112,3,1,승,미출전,,,,,,,
1,GS칼텍스,51,3,4,25,20,83,96,102,39,49,30.18,40.45,108,1,3,패,미출전,,,,,,,
1,도로공사,36,1,3,26,10,52,75,109,40,31,21.56,54.93,79,0,3,패,미출전,,,,,,,
1,현대건설,64,5,11,25,20,101,109,138,59,61,30.19,56.57,132,2,3,패,미출전,,,,,,,
1,KT&G,60,4,5,27,11,89,109,132,61,61,28.57,52.88,122,2,3,패,미출전,,,,,,,
1,도로공사,49,3,2,28,8,68,98,83,58,48,30.06,59.78,94,1,3,패,미출전,,,,,,,
1,현대건설,60,6,3,37,22,100,102,84,41,56,36.36,42.55,122,1,3,패,미출전,,,,,,,
1,KT&G,29,4,0,20,11,45,75,72,33,28,22.14,47.83,75,0,3,패,미출전,,,,,,,
1,도로공사,33,1,2,22,9,46,75,89,47,31,22.45,60.56,75,0,3,패,미출전,,,,,,,
1,GS칼텍스,52,3,1,36,14,70,96,82,43,47,34.44,44.83,91,1,3,패,미출전,,,,,,,
1,KT&G,56,5,2,19,12,77,97,127,56,51,27.59,58.06,107,1,3,패,미출전,,,,,,,
1,GS칼텍스,42,3,2,19,15,62,75,87,39,41,29.37,55.71,80,0,3,패,미출전,,,,,,,
1,현대건설,74,7,3,25,19,109,104,156,58,75,32.03,52.53,135,3,2,승,미출전,,,,,,,
2,현대건설,54,3,6,27,18,94,76,90,45,53,37.50,62.32,101,3,1,승,선발,29,37,20,0,5,54.05,25.69
2,GS칼텍스,56,9,8,30,19,101,101,98,46,51,32.94,50.00,119,2,3,패,선발,37,68,27,4,3,39.71,40.00
2,KT&G,43,8,6,14,12,75,51,82,36,40,35.54,72.92,72,3,0,승,선발,19,30,12,0,4,40.00,24.79
2,도로공사,57,5,4,30,16,86,88,95,55,54,34.55,61.90,102,1,3,패,선발,27,62,23,1,6,37.10,37.58
2,도로공사,48,1,4,21,18,75,62,62,27,46,43.24,49.09,73,3,0,승,선발,22,40,16,2,6,40.00,36.04
2,현대건설,60,3,5,18,21,96,90,94,46,57,38.46,52.50,104,3,1,승,선발,33,51,26,2,2,50.98,32.69
2,GS칼텍스,58,6,3,25,25,99,91,102,50,54,34.94,62.34,105,3,1,승,선발,30,65,24,1,6,36.92,39.16
2,KT&G,64,6,2,22,14,97,88,102,60,60,35.75,71.95,107,3,1,승,선발,22,48,17,2,4,35.42,26.82
2,GS칼텍스,58,4,6,28,18,96,79,79,45,57,43.61,64.71,93,3,1,승,선발,34,42,24,0,4,57.14,31.58
2,도로공사,43,4,9,18,15,75,56,81,29,41,33.86,56.86,74,3,0,승,선발,15,27,11,0,1,40.74,21.26
2,현대건설,56,6,5,25,22,103,103,96,56,53,32.94,57.78,114,3,2,승,선발,25,43,18,3,2,41.86,25.29
2,KT&G,72,7,5,35,7,107,110,142,86,63,30.25,81.13,129,2,3,패,선발,28,69,19,2,5,27.54,28.99
2,도로공사,50,12,3,27,21,96,99,115,51,46,27.78,51.14,109,1,3,패,선발,30,62,21,2,6,33.87,34.44
2,GS칼텍스,44,3,9,27,17,75,54,58,31,41,45.36,61.22,69,3,0,승,선발,13,25,10,1,2,40.00,25.77
2,현대건설,61,8,6,31,22,108,103,107,47,58,33.52,51.76,114,2,3,패,선발,29,62,19,1,6,30.65,34.07
2,KT&G,75,8,6,27,12,112,104,117,68,73,38.07,67.35,127,2,3,패,선발,44,74,33,4,5,44.59,37.56
2,KT&G,51,7,3,16,7,75,53,82,36,47,40.16,68.63,75,3,0,승,선발,27,46,20,3,1,43.48,36.22
2,현대건설,40,9,7,13,14,75,52,67,26,40,40.00,53.33,65,3,0,승,선발,21,29,13,1,2,44.83,29.00
2,GS칼텍스,58,11,9,31,15,109,108,120,62,57,29.74,67.05,124,2,3,패,선발,43,71,26,3,7,36.62,36.41
2,도로공사,41,3,2,22,6,54,75,62,48,40,35.96,67.16,70,0,3,패,선발,14,34,11,0,4,32.35,29.82
2,GS칼텍스,51,9,6,24,22,99,82,83,39,46,36.43,52.17,94,3,1,승,선발,26,47,16,1,4,34.04,33.57
2,현대건설,55,8,5,19,15,97,83,79,40,51,41.98,52.86,93,3,1,승,선발,38,53,26,4,4,49.06,40.46
